1;Yong’inga qarshi tizimlarni aktiv chora turiga quyidagilardan qaysilari kiradi?;1
;Yong’inni aniqlash va bartaraf etish tizimi;
;Minimal darajada yonuvchan materiallardan foydalanish;
;Yetarlicha miqdorda qo’shimcha chiqish yo’llarini mavjudligi;
;Yong’inga aloqador tizimlarni to’g’ri madadlanganligi;
2;Yong’inga qarshi kurashishning faqat aktiv usuli to’g’ri ko’rsatilgan javobni toping?;1
;"Tutunni aniqlovchilar, alangani aniqlovchilar va issiqlikni aniqlovchilar";
;Binoga istiqomat qiluvchilarni yong’in sodir bo’lganda qilinishi zarur bo’lgan ishlar bilan tanishtirish;
;"Minimal darajada yonuvchan materiallardan foydalanish, qo’shimcha etaj va xonalar qurish";
;Yetarli sondagi qo’shimcha chiqish yo’llarining mavjudligi;
3;Yong’inga qarshi kurashishning faqat passiv usuliga kiruvchi choralarni to’g’ri ko’rsatilgan javobni toping?;1
;"Minimal darajada yonuvchan materiallardan foydalanish, qo’shimcha etaj va xonalar qurish";
;Tutun va alangani aniqlovchilar;
;"O’t o’chirgich, suv purkash tizimlari";
;Tutun va alangani aniqlovchilar va suv purkash tizimlari;
4;Fizik himoyani buzilishiga olib keluvchi tahdidlar yuzaga kelish shakliga ko’ra qanday guruhlarga bo’linadi?;1
;Tabiy va sun’iy;
;Ichki va tashqi;
;Aktiv va passiv;
;Bir faktorli va ko’p faktorli;
5;Quyidagilarning qaysi biri faqat tabiiy tahdidlarga misol bo’la oladi?;1
;"Toshqinlar, yong’in, zilzila";
;"Bosqinchilik, terrorizm, o’g’irlik";
;"O’g’irlik, toshqinlar, zilzila";
;"Terorizim, toshqinlar, zilzila";
6;Quyidagilarnnig qaysi biri faqat sun’iy tahdidlarga misol bo’la oladi?;1
;"Bosqinchilik, terrorizm, o’g’irlik";
;"Toshqinlar, zilzila";
;"O’g’irlik, toshqinlar, zilzila";
;"Terorizim, toshqinlar, zilzila";
7;Kriptotahlil so’ziga berilgan to’g’ri tavsifni toping?;1
;Maxfiy shifrlarni buzish fani va sanati.;
;Maxfiy shifrlarni yaratish fani va sanati.;
;"Maxfiy shifrlarni yaratish, buzish fani va sanati.";
;Axborotni himoyalash fani va sanati.;
8;Kriptografiya so’ziga berilgan to’g’ri tavsifni toping?;1
;Maxfiy shifrlarni yaratish fani va sanati.;
;Maxfiy shifrlarni yaratish va buzish fani va sanati.;
;Maxfiy shifrlarni buzish fani va sanati.;
;Axborotni himoyalash fani va sanati.;
9;Axborot xavfsizligida zaiflik bu?;1
;Tahdidga sabab bo’luvchi tashkilot aktivi yoki boshqaruv tizimidagi nuqson.;
;Tashkilot uchun qadrli bo’lgan ixtiyoriy narsa.;
;Tizim yoki tashkilotga zarar yetkazishi mumkin bo’lgan istalmagan hodisa.;
;Noaniqlikning maqsadlarga ta’siri.;
10;Axborot xavfsizligida aktiv bu?;1
